Job: 4122 | DGX | Wed Feb 25 11:00:50 CET 2026
[1/3] Sanitize JSONL...
✅ sanitized: in=15000, out=15000, bad=0
   wrote -> data/processed/train_compute.clean.jsonl
[2/3] Split train/val...
[SPLIT] total=15000 train=14700 val=300
train-> data/processed/train_compute.clean.train.jsonl
val  -> data/processed/train_compute.clean.val.jsonl
[3/3] Train COMPUTE...
trainable params: 40,370,176 || all params: 7,653,162,496 || trainable%: 0.5275
{'loss': 0.046, 'grad_norm': 0.228032648563385, 'learning_rate': 2.8182807399347117e-05, 'epoch': 0.86}
{'loss': 0.0479, 'grad_norm': 0.33511823415756226, 'learning_rate': 2.600652883569097e-05, 'epoch': 0.87}
{'loss': 0.0446, 'grad_norm': 0.3250769078731537, 'learning_rate': 2.383025027203482e-05, 'epoch': 0.88}
{'loss': 0.0414, 'grad_norm': 0.21897104382514954, 'learning_rate': 2.1653971708378672e-05, 'epoch': 0.89}
{'loss': 0.0469, 'grad_norm': 0.08167339861392975, 'learning_rate': 1.9477693144722524e-05, 'epoch': 0.9}
{'loss': 0.039, 'grad_norm': 0.18435823917388916, 'learning_rate': 1.730141458106638e-05, 'epoch': 0.91}
{'loss': 0.0394, 'grad_norm': 3.346461296081543, 'learning_rate': 1.5125136017410229e-05, 'epoch': 0.93}
{'loss': 0.0335, 'grad_norm': 0.21789515018463135, 'learning_rate': 1.2948857453754082e-05, 'epoch': 0.94}
{'loss': 0.0498, 'grad_norm': 0.2650102972984314, 'learning_rate': 1.0772578890097933e-05, 'epoch': 0.95}
{'loss': 0.0387, 'grad_norm': 0.3003532588481903, 'learning_rate': 8.596300326441784e-06, 'epoch': 0.96}
{'loss': 0.0421, 'grad_norm': 0.35244837403297424, 'learning_rate': 6.420021762785637e-06, 'epoch': 0.97}
{'loss': 0.0486, 'grad_norm': 0.16374488174915314, 'learning_rate': 4.243743199129489e-06, 'epoch': 0.98}
{'loss': 0.0465, 'grad_norm': 0.15416179597377777, 'learning_rate': 2.067464635473341e-06, 'epoch': 0.99}
{'train_runtime': 4470.5332, 'train_samples_per_second': 3.288, 'train_steps_per_second': 0.411, 'train_loss': 0.10481868163805143, 'epoch': 1.0}
Done: Wed Feb 25 12:16:02 CET 2026
